word,year,score,transformed_score
absent-minded,1970,464,36
active,1970,641,-141
adaptable,1970,491,9
adventurous,1970,752,-252
affected,1970,385,115
affectionate,1970,270,230
aggressive,1970,761,-261
alert,1970,505,-5
aloof,1970,486,14
ambitious,1970,702,-202
anxious,1970,441,59
apathetic,1970,542,-42
appreciative,1970,317,183
argumentative,1970,553,-53
arrogant,1970,575,-75
artistic,1970,346,154
assertive,1970,678,-178
attractive,1970,308,192
autocratic,1970,626,-126
awkward,1970,546,-46
bitter,1970,501,-1
blustery,1970,482,18
boastful,1970,696,-196
bossy,1970,498,2
calm,1970,517,-17
capable,1970,557,-57
careless,1970,516,-16
cautious,1970,398,102
changeable,1970,360,140
charming,1970,373,127
cheerful,1970,343,157
civilized,1970,454,46
clear-thinking,1970,623,-123
clever,1970,506,-6
coarse,1970,642,-142
cold,1970,519,-19
commonplace,1970,531,-31
complaining,1970,401,99
complicated,1970,446,54
conceited,1970,541,-41
confident,1970,683,-183
confused,1970,394,106
conscientious,1970,409,91
conservative,1970,468,32
considerate,1970,381,119
contented,1970,428,72
conventional,1970,530,-30
cool,1970,601,-101
cooperative,1970,412,88
courageous,1970,678,-178
cowardly,1970,491,9
cruel,1970,592,-92
curious,1970,470,30
cynical,1970,558,-58
daring,1970,694,-194
deceitful,1970,454,46
defensive,1970,505,-5
deliberate,1970,563,-63
demanding,1970,567,-67
dependable,1970,506,-6
dependent,1970,357,143
despondent,1970,461,39
determined,1970,616,-116
dignified,1970,511,-11
discreet,1970,423,77
disorderly,1970,593,-93
dissatisfied,1970,498,2
distractible,1970,476,24
distrustful,1970,518,-18
dominant,1970,736,-236
dreamy,1970,322,178
dull,1970,545,-45
easy-going,1970,577,-77
effeminate,1970,397,103
efficient,1970,460,40
egotistical,1970,671,-171
emotional,1970,254,246
energetic,1970,565,-65
enterprising,1970,645,-145
enthusiastic,1970,429,71
evasive,1970,428,72
excitable,1970,333,167
fair-minded,1970,482,18
fault-finding,1970,452,48
fearful,1970,409,91
feminine,1970,192,308
fickle,1970,344,156
flirtatious,1970,308,192
foolish,1970,448,52
forceful,1970,723,-223
foresighted,1970,538,-38
forgetful,1970,507,-7
forgiving,1970,382,118
formal,1970,484,16
frank,1970,624,-124
friendly,1970,423,77
frivolous,1970,339,161
fussy,1970,325,175
generous,1970,466,34
gentle,1970,312,188
gloomy,1970,524,-24
good-looking,1970,449,51
good-natured,1970,506,-6
greedy,1970,576,-76
handsome,1970,642,-142
hard-headed,1970,567,-67
hard-hearted,1970,597,-97
hasty,1970,499,1
headstrong,1970,599,-99
healthy,1970,569,-69
helpful,1970,439,61
high-strung,1970,379,121
honest,1970,527,-27
hostile,1970,577,-77
humorous,1970,585,-85
hurried,1970,446,54
idealistic,1970,450,50
imaginative,1970,364,136
immature,1970,487,13
impatient,1970,583,-83
impulsive,1970,392,108
independent,1970,706,-206
indifferent,1970,581,-81
individualistic,1970,594,-94
industrious,1970,605,-105
infantile,1970,465,35
informal,1970,576,-76
ingenious,1970,527,-27
inhibited,1970,436,64
initiative,1970,574,-74
insightful,1970,478,22
intelligent,1970,501,-1
interests narrow,1970,498,2
interests wide,1970,505,-5
intolerant,1970,579,-79
inventive,1970,591,-91
irresponsible,1970,509,-9
irritable,1970,477,23
jolly,1970,581,-81
kind,1970,374,126
lazy,1970,601,-101
leisurely,1970,515,-15
logical,1970,661,-161
loud,1970,624,-124
loyal,1970,464,36
mannerly,1970,437,63
masculine,1970,790,-290
mature,1970,513,-13
meek,1970,369,131
methodical,1970,611,-111
mild,1970,371,129
mischievous,1970,596,-96
moderate,1970,511,-11
modest,1970,411,89
moody,1970,407,93
nagging,1970,348,152
natural,1970,536,-36
nervous,1970,408,92
noisy,1970,568,-68
obliging,1970,474,26
obnoxious,1970,580,-80
opinionated,1970,602,-102
opportunistic,1970,650,-150
optimistic,1970,447,53
organized,1970,470,30
original,1970,450,50
outgoing,1970,543,-43
outspoken,1970,600,-100
painstaking,1970,434,66
patient,1970,393,107
peaceable,1970,444,56
peculiar,1970,498,2
persevering,1970,535,-35
persistent,1970,574,-74
pessimistic,1970,545,-45
planful,1970,508,-8
pleasant,1970,349,151
pleasure-seeking,1970,608,-108
poised,1970,356,144
polished,1970,446,54
practical,1970,563,-63
praising,1970,395,105
precise,1970,552,-52
prejudiced,1970,574,-74
preoccupied,1970,516,-16
progressive,1970,603,-103
prudish,1970,375,125
quarrelsome,1970,475,25
queer,1970,531,-31
quick,1970,541,-41
quiet,1970,417,83
quitting,1970,490,10
rational,1970,654,-154
rattlebrained,1970,404,96
realistic,1970,629,-129
reasonable,1970,575,-75
rebellious,1970,596,-96
reckless,1970,591,-91
reflective,1970,460,40
relaxed,1970,530,-30
reliable,1970,474,26
resentful,1970,492,8
reserved,1970,464,36
resourceful,1970,533,-33
responsible,1970,508,-8
restless,1970,560,-60
retiring,1970,516,-16
rigid,1970,535,-35
robust,1970,606,-106
rude,1970,596,-96
sarcastic,1970,525,-25
self-centered,1970,561,-61
self-confident,1970,614,-114
self-controlled,1970,533,-33
self-denying,1970,433,67
self-pitying,1970,465,35
self-punishing,1970,513,-13
self-seeking,1970,554,-54
selfish,1970,556,-56
sensitive,1970,326,174
sentimental,1970,241,259
serious,1970,580,-80
severe,1970,589,-89
sexy,1970,340,160
shallow,1970,484,16
sharp-witted,1970,552,-52
shiftless,1970,592,-92
show-off,1970,617,-117
shrewd,1970,522,-22
shy,1970,385,115
silent,1970,472,28
simple,1970,466,34
sincere,1970,403,97
slipshod,1970,563,-63
slow,1970,511,-11
sly,1970,523,-23
smug,1970,540,-40
snobbish,1970,428,72
sociable,1970,386,114
soft-hearted,1970,303,197
sophisticated,1970,402,98
spendthrift,1970,477,23
spineless,1970,531,-31
spontaneous,1970,466,34
spunky,1970,483,17
stable,1970,601,-101
steady,1970,584,-84
stern,1970,622,-122
stingy,1970,554,-54
stolid,1970,572,-72
strong,1970,707,-207
stubborn,1970,599,-99
submissive,1970,343,157
suggestible,1970,403,97
sulky,1970,433,67
superstitious,1970,425,75
suspicious,1970,496,4
sympathetic,1970,299,201
tactful,1970,406,94
tactless,1970,588,-88
talkative,1970,307,193
temperamental,1970,416,84
tense,1970,510,-10
thankless,1970,561,-61
thorough,1970,528,-28
thoughtful,1970,419,81
thrifty,1970,517,-17
timid,1970,403,97
tolerant,1970,446,54
touchy,1970,456,44
tough,1970,649,-149
trusting,1970,409,91
unaffected,1970,513,-13
unambitious,1970,451,49
unassuming,1970,476,24
unconventional,1970,544,-44
undependable,1970,599,-99
understanding,1970,387,113
unemotional,1970,623,-123
unexcitable,1970,599,-99
unfriendly,1970,533,-33
uninhibited,1970,598,-98
unintelligent,1970,479,21
unkind,1970,553,-53
unrealistic,1970,446,54
unscrupulous,1970,546,-46
unselfish,1970,440,60
unstable,1970,440,60
vindictive,1970,503,-3
versatile,1970,477,23
warm,1970,341,159
wary,1970,524,-24
weak,1970,384,116
whiny,1970,395,105
wholesome,1970,465,35
wise,1970,584,-84
withdrawn,1970,496,4
witty,1970,532,-32
worrying,1970,428,72
zany,1970,455,45
absent-minded,1990,60,-100
active,1990,81,-310
adaptable,1990,37,130
adventurous,1990,93,-430
affected,1990,20,300
affectionate,1990,10,400
aggressive,1990,88,-380
