occupation,stereotype_score
solicitor,1.5
ballerina,3.5
negotiator,1.55555555556
strategist,1.7
sergeant,1.1
neurologist,1.4
nurse,3.1
musician,2.0
professor_emeritus,1.5
employee,2.0
cabbie,1.2
promoter,1.7
captain,1.2
guitarist,1.11111111111
nun,3.7
archaeologist,1.4
comic,1.7
athletic_director,1.1
doctoral_student,1.7
treasurer,2.22222222222
patrolman,0.0
psychiatrist,2.2
naturalist,2.2
firefighter,1.1
solicitor_general,1.5
undersecretary,2.3
manager,1.4
soloist,2.5
cameraman,0.3
waitress,3.9
graphic_designer,1.8
fisherman,0.1
fighter_pilot,0.9
marshal,1.1
psychologist,2.0
publicist,2.4
gangster,0.9
servant,1.9
pianist,2.1
swimmer,2.0
bishop,0.4
associate_professor,1.6
registered_nurse,3.1
ranger,0.9
crooner,1.4
pollster,1.7
chancellor,1.2
caretaker,2.9
baron,0.5
boxer,0.9
ballplayer,0.8
dean,0.9
pediatrician,2.2
interior_designer,3.0
correspondent,2.0
scholar,1.4
midfielder,0.9
fireman,0.2
barber,0.5
attorney,1.7
inspector,1.3
adjunct_professor,1.5
jeweler,1.5
bookkeeper,2.4
aide,2.2
author,1.9
sociologist,2.2
cartoonist,1.5
housewife,4.0
geologist,1.6
paralegal,2.6
envoy,1.6
hooker,3.2
deputy,1.1
physicist,1.1
crusader,1.1
teacher,2.8
judge,1.3
foreman,0.6
trader,1.2
dad,0.0
composer,1.4
medic,1.4
dermatologist,2.125
cardiologist,1.3
congressman,0.3
socialite,3.1
baker,2.1
consultant,1.9
anthropologist,1.6
electrician,1.0
technician,1.2
epidemiologist,2.0
physician,1.4
curator,2.0
lifeguard,1.4
drummer,1.1
policeman,0.2
lieutenant,1.1
boss,1.3
researcher,1.9
disc_jockey,1.0
pathologist,1.7
marksman,0.4
photojournalist,1.9
freelance_writer,2.0
pundit,1.66666666667
vocalist,2.3
illustrator,1.8
sportswriter,0.9
rabbi,1.0
mobster,0.9
athlete,1.3
investment_banker,1.1
bartender,1.7
adventurer,1.5
novelist,2.0
philosopher,1.2
dancer,3.1
homemaker,3.1
pastor,0.7
tutor,2.3
artist,2.2
wrestler,1.0
handyman,0.2
biologist,1.9
doctor,1.3
civil_servant,1.8
painter,1.8
maestro,1.3
provost,1.6
substitute,2.3
clerk,2.5
tycoon,1.1
politician,1.5
sculptor,1.5
citizen,2.0
steward,1.3
archbishop,0.7
economist,1.3
programmer,1.0
protege,1.8
stockbroker,1.11111111111
gardener,2.2
banker,1.4
footballer,0.7
cleric,1.1
commissioner,1.2
principal,1.7
scientist,1.5
editor,1.4
landlord,1.4
librarian,3.1
headmaster,1.0
warden,0.9
acquaintance,2.0
farmer,1.0
president,0.9
statesman,0.4
drug_addict,2.0
saint,1.3
understudy,2.0
shopkeeper,1.5
monk,0.3
cinematographer,1.5
investigator,1.3
economics_professor,1.2
jurist,2.0
secretary,3.22222222222
colonel,1.0
mechanic,0.8
receptionist,3.3
lyricist,2.11111111111
alter_ego,2.0
commander,1.0
cellist,2.2
singer,2.2
realtor,2.6
environmentalist,2.33333333333
soft_spoken,3.1
educator,2.5
serviceman,0.3
sailor,1.0
salesman,0.2
legislator,1.1
conductor,1.2
janitor,0.9
bodyguard,0.9
teenager,2.1
administrator,1.8
surveyor,1.5
minister,1.0
worker,1.7
violinist,2.5
superintendent,1.1
skipper,1.1
neurosurgeon,1.3
protester,2.2
businessman,0.2
senator,1.1
warrior,0.9
associate_dean,1.6
valedictorian,2.0
magician,1.1
broadcaster,1.8
historian,1.5
stylist,3.1
sheriff_deputy,1.0
trucker,0.9
firebrand,1.9
dentist,1.3
mathematician,1.2
diplomat,1.5
journalist,1.9
columnist,1.8
choreographer,2.6
pharmacist,1.7
vice_chancellor,1.4
sportsman,0.1
commentator,1.6
waiter,0.0
narrator,1.8
housekeeper,3.2
financier,1.3
nanny,3.3
parishioner,1.9
taxi_driver,0.9
confesses,2.0
counselor,2.1
astronomer,1.3
lecturer,1.8
performer,2.2
accountant,1.6
industrialist,1.1
analyst,1.6
butcher,0.9
character,2.0
magistrate,1.2
evangelist,1.4
protagonist,1.9
therapist,2.6
laborer,0.9
goalkeeper,1.3
missionary,1.7
student,2.0
saxophonist,1.3
preacher,0.9
priest,0.3
actress,4.0
critic,1.4
cab_driver,1.0
trooper,1.1
chef,1.5
alderman,0.4
parliamentarian,1.4
writer,2.0
entertainer,2.0
guidance_counselor,1.88888888889
constable,1.0
architect,1.2
photographer,2.1
entrepreneur,1.5
observer,2.1
prosecutor,1.9
barrister,1.4
maid,3.4
instructor,2.3
custodian,0.9
councilman,0.3
officer,1.0
businesswoman,3.9
broker,1.3
poet,2.1
singer_songwriter,2.3
ambassador,1.3
mediator,2.2
professor,1.4
plastic_surgeon,1.2
collector,1.6
assassin,1.0
artiste,2.4
major_leaguer,0.9
hitman,0.2
actor,0.4
proprietor,1.4
chaplain,1.2
lawyer,1.3
chemist,1.8
radiologist,2.3
restaurateur,1.8
infielder,1.3
filmmaker,1.33333333333
advocate,2.1
bureaucrat,1.3
trumpeter,1.8
soldier,0.8
councilor,2.3
cop,1.0
inventor,1.3
surgeon,1.1
plumber,1.0
coach,1.0
hairdresser,3.2
planner,2.3
playwright,1.5
welder,0.8
prisoner,1.2
organist,2.7
director,1.2
assistant_professor,1.4
astronaut,1.0
campaigner,1.8
butler,0.5
philanthropist,1.55555555556
carpenter,1.0
fashion_designer,2.8
comedian,1.7
detective,1.3
screenwriter,1.4
lawmaker,1.3
