Census year,Occupation,Total Weight,Female,Male
2007,judge,1128029.0,0.3373246609794606,0.6626753390205393
1990,bookbinder,37767.0,0.5591918870972012,0.44080811290279875
1960,salesperson,402520.0,0.36768359336182055,0.6323164066381795
2000,broker,2202877.0,0.5687657549649844,0.43123424503501556
2007,dancer,27296.0,0.7924237983587339,0.2075762016412661
2005,technician,2750147.0,0.5723206795854913,0.42767932041450873
2008,mechanic,12957943.0,0.2507622544720254,0.7492377455279746
2000,salesperson,2601530.0,0.45230345219928275,0.5476965478007173
2001,conservationist,47645.0,0.13279462692832406,0.8672053730716759
1940,photographer,37344.0,0.08775171379605827,0.9122482862039417
2007,optometrist,38332.0,0.33640300532192424,0.6635969946780758
1960,official,5437060.0,0.17068047805247688,0.8293195219475231
1950,author,15747.0,0.36324379246840666,0.6367562075315933
2008,housekeeper,156346.0,0.7915072979161603,0.2084927020838397
1900,official,1409030.730000001,0.06838098555877486,0.9316190144412251
2015,bankteller,430230.0,0.8540757269367547,0.14592427306324524
1950,guard,269821.0,0.02025787466505572,0.9797421253349443
1880,waitstaff,37214.10000000016,0.2421095767464474,0.7578904232535526
2000,economist,136159.0,0.47567182485182763,0.5243281751481723
2005,draftsperson,230541.0,0.19319773923076589,0.8068022607692341
2008,smith,163705.0,0.04134876760025656,0.9586512323997435
1920,millwright,37806.31999999999,0.007947612991690278,0.9920523870083097
1950,clerical,3154631.0,0.49280882613529126,0.5071911738647087
2006,therapist,660748.0,0.7812267309170818,0.21877326908291814
1970,optometrist,35800.0,0.05307262569832402,0.946927374301676
2013,cabinetmaker,70024.0,0.05802296355535245,0.9419770364446476
1980,fireperson,416140.0,0.027586869803431537,0.9724131301965685
2004,nutritionist,91111.0,0.9078596437312728,0.09214035626872716
2001,therapist,562223.0,0.7792068271842312,0.22079317281576882
2001,laborer,6867471.0,0.17014341960817891,0.8298565803918211
1930,teacher,1068350.0899999572,0.8116073542896325,0.18839264571036757
2011,accountant,2447898.0,0.5977912478379409,0.40220875216205904
1960,cashier,827100.0,0.846499818643453,0.15350018135654697
2002,compositor,87318.0,0.4634783206211778,0.5365216793788222
1930,official,3193972.909999994,0.08141000795150773,0.9185899920484922
1980,carpenter,1558900.0,0.018230803771890437,0.9817691962281095
1910,physicist,100.0,0.0,1.0
1990,waitstaff,2047471.0,0.8257587042746881,0.17424129572531186
2004,instructor,1380024.0,0.47680185272140196,0.523198147278598
2004,cashier,4480722.0,0.774985147482928,0.22501485251707204
1970,lumberjack,264500.0,0.10094517958412098,0.899054820415879
2010,weaver,14695.0,0.5698536917318816,0.4301463082681184
1950,bailiff,20117.0,0.05761296415966596,0.942387035840334
2007,cashier,4884835.0,0.7651605427818954,0.2348394572181046
1990,laborer,7676001.0,0.18740826115056525,0.8125917388494347
2009,cook,5365084.0,0.4963213996276666,0.5036786003723334
1880,plasterer,25290.92000000008,0.0005804454721299167,0.9994195545278701
2010,paperhanger,8270.0,0.266142684401451,0.7338573155985489
1980,artist,180120.0,0.5089940039973351,0.49100599600266487
1920,cashier,84521.78999999998,0.6790661910969941,0.32093380890300605
2001,photographer,215623.0,0.4372028957949755,0.5627971042050245
2000,setter,143377.0,0.03305272114774336,0.9669472788522566
2003,upholsterer,68430.0,0.2442934385503434,0.7557065614496565
1870,author,511.65999999999997,0.3742133447992808,0.6257866552007193
1960,plasterer,60120.0,0.0026613439787092482,0.9973386560212908
1960,artist,130740.0,0.4653510784763653,0.5346489215236347
2011,draftsperson,210302.0,0.18081140455154968,0.8191885954484504
2005,paperhanger,13017.0,0.3279557501728509,0.6720442498271492
2015,physician,979939.0,0.3493503167033866,0.6506496832966133
2014,engineer,3309479.0,0.20730755505624904,0.792692444943751
2001,mason,224052.0,0.0030483994786924466,0.9969516005213076
2006,painter,254818.0,0.15764977356387697,0.842350226436123
1910,attendant,44333.0,0.506710576771254,0.4932894232287461
2008,author,232956.0,0.591686842150449,0.40831315784955097
2007,fireperson,423384.0,0.055292594902027474,0.9447074050979726
2012,shoemaker,227009.0,0.053773198419445924,0.9462268015805541
2000,proprietor,18425081.0,0.38828855080745645,0.6117114491925436
2015,doctor,979939.0,0.3493503167033866,0.6506496832966133
1920,sales,1694446.4899999998,0.29722332512253014,0.7027766748774699
2003,porter,79292.0,0.1459541946224083,0.8540458053775917
1970,scientist,484200.0,0.1734820322180917,0.8265179677819083
2008,weaver,18390.0,0.6252854812398042,0.37471451876019574
2011,welder,714507.0,0.056256971590201356,0.9437430284097986
2014,driver,5473325.0,0.1247674859431881,0.8752325140568119
1880,tradesperson,761236.2800000072,0.0837518017401898,0.9162481982598102
1970,bartender,506400.0,0.25296208530805686,0.7470379146919431
2003,athlete,284021.0,0.31845180462008094,0.6815481953799191
2010,millwright,64281.0,0.021732704842799582,0.9782672951572005
2015,laborer,8555210.0,0.1531665499736418,0.8468334500263582
1870,doorkeeper,12880.61,0.0,1.0
1880,clergy,74727.14999999989,0.12895487115459428,0.8710451288454057
1900,inspector,30933.15000000001,0.041207571812117406,0.9587924281878826
2015,conservationist,46974.0,0.17149912717673607,0.8285008728232639
1940,chiropractor,10800.0,0.16666666666666666,0.8333333333333334
1910,salesperson,157970.0,0.7923529784136228,0.20764702158637716
1970,sailor,80300.0,0.0112079701120797,0.9887920298879203
1950,attendant,666210.0,0.3465363774185317,0.6534636225814683
2011,gardener,1900070.0,0.06713700021578152,0.9328629997842185
1920,jeweler,36630.00999999999,0.0711042666928019,0.928895733307198
1850,athlete,104.87,0.0,1.0
1980,judge,566600.0,0.15121779032827393,0.8487822096717261
1950,veterinarian,17947.0,0.152337438011924,0.847662561988076
2006,librarian,2342933.0,0.8742255967200087,0.12577440327999137
2015,cashier,4903985.0,0.7505781522578067,0.24942184774219334
2007,engineer,3058557.0,0.1870048522881869,0.8129951477118131
1920,pharmacist,72940.63999999994,0.036876013152612894,0.9631239868473872
1970,painter,353600.0,0.20164027149321267,0.7983597285067874
2003,soldier,712263.0,0.13588941163587046,0.8641105883641296
2014,conductor,60484.0,0.041944977184048673,0.9580550228159513
2005,inspector,312840.0,0.3033691343817926,0.6966308656182074
2015,proprietor,22543230.0,0.3965806142243148,0.6034193857756852
1990,sailor,35405.0,0.0338087840700466,0.9661912159299534
2004,clerk,747634.0,0.3240689963270798,0.6759310036729201
1870,clergy,51905.68999999998,0.14281285924529666,0.8571871407547033
2011,shoemaker,231039.0,0.0417635117880531,0.9582364882119468
2010,boilermaker,30655.0,0.015266677540368619,0.9847333224596314
1860,boilermaker,3889.0500000000006,0.0,1.0
1920,gardener,46616.840000000026,0.021919117640749552,0.9780808823592504
1980,surveyor,101380.0,0.09686328664430854,0.9031367133556915
2014,clerical,13990581.0,0.6826768666719416,0.31732313332805834
1930,police,174000.4200000011,0.012117442015369776,0.9878825579846302
1880,toolmaker,1265.1000000000004,0.007920322504149866,0.9920796774958501
1980,clerk,593420.0,0.251626166964376,0.748373833035624
1860,cabinetmaker,35785.14000000001,0.01382221782561141,0.9861777821743887
2010,mechanic,12585193.0,0.24709172119966694,0.7529082788003331
1900,plumber,90527.7299999974,0.005418008382625015,0.994581991617375
2009,photographer,253396.0,0.4163798954995343,0.5836201045004656
2001,weaver,44701.0,0.6663385606585982,0.33366143934140174
2012,laborer,8193282.0,0.14745055766419365,0.8525494423358063
1960,midwife,2040.0,0.9019607843137255,0.09803921568627451
2006,lumberjack,67837.0,0.13961407491486946,0.8603859250851306
2011,sales,8541534.0,0.4541056676704676,0.5458943323295323
2005,typesetter,68938.0,0.4920073109170559,0.5079926890829441
1950,artist,83250.0,0.3661861861861862,0.6338138138138139
2008,dietitian,110292.0,0.8903546948101404,0.10964530518985964
1930,clergy,181951.52000000063,0.14344463843995314,0.8565553615600469
1850,welder,104.03,0.0,1.0
2014,painter,183078.0,0.13799582691530385,0.8620041730846961
1950,statistician,24374.0,0.3427832936735866,0.6572167063264134
2000,bailiff,11802.0,0.3028300288086765,0.6971699711913235
2000,compositor,99786.0,0.48826488685787583,0.5117351131421242
1940,lawyer,171634.0,0.027313935467331647,0.9726860645326684
1850,tailor,55955.97999999997,0.0,1.0
2005,doctor,860598.0,0.311455522787643,0.688544477212357
1850,typesetter,16125.669999999993,0.0,1.0
1870,fireperson,5395.1900000000005,0.0,1.0
2012,instructor,1711168.0,0.498439662265774,0.5015603377342259
2010,conductor,49768.0,0.068939881048063,0.931060118951937
2004,entertainer,270790.0,0.584006056353632,0.41599394364636805
