word,group,year,score,top151933
industrious,white,1930,48,TRUE
intelligent,white,1930,47,TRUE
materialistic,white,1930,33,TRUE
ambitious,white,1930,33,TRUE
progressive,white,1930,27,TRUE
alert,white,1930,23,TRUE
efficient,white,1930,21,TRUE
aggressive,white,1930,20,TRUE
straightforward,white,1930,19,TRUE
practical,white,1930,19,TRUE
sportsmanlike,white,1930,19,TRUE
individualistic,white,1930,,FALSE
conventional,white,1930,,FALSE
scientific,white,1930,,FALSE
ostentatious,white,1930,,FALSE
industrious,white,1950,30,TRUE
intelligent,white,1950,32,TRUE
materialistic,white,1950,37,TRUE
ambitious,white,1950,21,TRUE
progressive,white,1950,5,TRUE
alert,white,1950,7,TRUE
efficient,white,1950,9,TRUE
aggressive,white,1950,8,TRUE
straightforward,white,1950,,TRUE
practical,white,1950,,TRUE
sportsmanlike,white,1950,,TRUE
individualistic,white,1950,26,FALSE
conventional,white,1950,,FALSE
scientific,white,1950,,FALSE
ostentatious,white,1950,,FALSE
industrious,white,1960,23,TRUE
intelligent,white,1960,20,TRUE
materialistic,white,1960,67,TRUE
ambitious,white,1960,42,TRUE
progressive,white,1960,17,TRUE
alert,white,1960,7,TRUE
efficient,white,1960,15,TRUE
aggressive,white,1960,15,TRUE
straightforward,white,1960,9,TRUE
practical,white,1960,12,TRUE
sportsmanlike,white,1960,9,TRUE
individualistic,white,1960,15,FALSE
conventional,white,1960,17,FALSE
scientific,white,1960,15,FALSE
ostentatious,white,1960,15,FALSE
superstitious,chinese,1930,34,TRUE
sly,chinese,1930,29,TRUE
conservative,chinese,1930,29,TRUE
traditional,chinese,1930,26,TRUE
loyal,chinese,1930,22,TRUE
industrious,chinese,1930,18,TRUE
meditative,chinese,1930,19,TRUE
reserved,chinese,1930,17,TRUE
religious,chinese,1930,15,TRUE
ignorant,chinese,1930,15,TRUE
deceitful,chinese,1930,14,TRUE
quiet,chinese,1930,13,TRUE
courteous,chinese,1930,,FALSE
nationalistic,chinese,1930,,FALSE
humorless,chinese,1930,,FALSE
artistic,chinese,1930,,FALSE
superstitious,chinese,1950,18,TRUE
sly,chinese,1950,4,TRUE
conservative,chinese,1950,14,TRUE
traditional,chinese,1950,26,TRUE
loyal,chinese,1950,35,TRUE
